"Health_Status","Species","12024","22024","42024","62024","82024","92023","112023","122023"
"Diseased Margin","DLAB",0,0,0,0,0,1,0,0
"Diseased Margin","MCAV",0,1,0,1,0,0,0,0
"Diseased Margin","ORBI",0,0,0,0,0,8,0,0
"Diseased Margin","PSTR",0,0,2,0,0,1,0,0
"Diseased Margin","SSID",0,1,16,1,0,16,0,0
"Diseased Tissue","DLAB",0,0,0,0,0,1,0,0
"Diseased Tissue","MCAV",0,1,0,1,0,0,0,0
"Diseased Tissue","ORBI",0,0,2,0,0,8,0,0
"Diseased Tissue","PSTR",0,0,2,0,0,1,0,0
"Diseased Tissue","SSID",0,1,11,3,0,9,0,0
"Healthy","CNAT",0,0,0,0,0,1,0,0
"Healthy","DLAB",0,0,8,0,0,7,0,0
"Healthy","MCAV",15,9,25,9,10,14,10,10
"Healthy","ORBI",20,7,41,7,7,11,7,7
"Healthy","PAST",11,6,19,7,6,15,8,8
"Healthy","PSTR",11,5,18,5,5,8,5,5
"Healthy","SSID",12,5,15,3,6,8,6,6
